This reflects time_all_gfs_argv_init.sh run on a MacBook Air with 4 GB of memory and a 1.7 GHz Intel Core i5

#uname -a 
11.4.2 Darwin Kernel Version 11.4.2: Thu Aug 23 16:25:48 PDT 2012; root:xnu-1699.32.7~1/RELEASE_X86_64 x86_64

<Arguments to reed_sol_time_gf> <Throughput MB/s>

_12_3_8_128_65536_-m_SPLIT_8_4_-r_SSE_- 2813.34
_12_3_8_128_65536_-m_COMPOSITE_2_-_-r_ALTMAP_- 2808.39
_12_3_8_128_65536_- 2797.62
_12_3_8_128_65536_-m_SPLIT_8_4_- 2793.14
_12_3_8_128_65536_-m_SPLIT_8_4_-r_SSE_-d_EUCLID_- 2779.97
_12_3_8_128_65536_-m_SPLIT_8_4_-d_EUCLID_- 2776.50
_12_3_8_128_65536_-m_SPLIT_8_4_-d_MATRIX_- 2762.82
_12_3_8_128_65536_-m_SPLIT_8_4_-r_SSE_-d_MATRIX_- 2711.49
_12_3_16_128_65536_-m_COMPOSITE_2_-_-r_ALTMAP_- 2700.11
_12_3_16_128_65536_-m_SPLIT_16_4_-r_ALTMAP_- 2367.78
_12_3_16_128_65536_-m_SPLIT_16_4_-r_SSE_-r_ALTMAP_-d_MATRIX_- 2365.21
_12_3_16_128_65536_-m_SPLIT_16_4_-r_ALTMAP_-d_EUCLID_- 2364.95
_12_3_16_128_65536_-m_SPLIT_16_4_-r_SSE_-r_ALTMAP_- 2356.81
_12_3_16_128_65536_-m_SPLIT_16_4_-r_SSE_-r_ALTMAP_-d_EUCLID_- 2319.16
_12_3_16_128_65536_-m_SPLIT_16_4_-r_ALTMAP_-d_MATRIX_- 2307.02
_12_3_16_128_65536_-m_SPLIT_16_4_-r_SSE_-d_EUCLID_- 1879.46
_12_3_16_128_65536_- 1877.06
_12_3_16_128_65536_-m_SPLIT_16_4_-d_MATRIX_- 1868.61
_12_3_16_128_65536_-m_SPLIT_16_4_- 1864.30
_12_3_16_128_65536_-m_SPLIT_16_4_-r_SSE_-d_MATRIX_- 1861.95
_12_3_16_128_65536_-m_SPLIT_16_4_-d_EUCLID_- 1854.40
_12_3_16_128_65536_-m_SPLIT_16_4_-r_SSE_- 1850.96
_12_3_32_128_65536_-m_COMPOSITE_2_-_-r_ALTMAP_- 1828.50
_12_3_8_128_65536_-m_TABLE_-r_CAUCHY_- 1534.09
_12_3_8_128_65536_-m_SPLIT_8_4_-r_CAUCHY_-d_MATRIX_- 1531.78
_12_3_8_128_65536_-m_LOG_ZERO_EXT_-r_CAUCHY_-d_EUCLID_- 1526.97
_12_3_8_128_65536_-m_TABLE_-r_CAUCHY_-d_EUCLID_- 1527.21
